Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2021-03-22,Colin Allred: Ex-NFL star Congressman bewildered by Jan 6 insurrection's 'rage and mob mentality',Spiders and snakes swarm Australian homes as they flee record floods,Thousands evacuated in Australia as 'life-threatening' floods inundate New South Wales,"Protesters injure police and set vehicles ablaze in English city, as tensions over new crime bill boil over",Juventus decides to keep 'best in the world' Cristiano Ronaldo,'Otherworldly' Lionel Messi breaks Barcelona appearance record,'He cut my underwear. Then he did what he did',Parts of Australia declare natural disaster during 'once in 100 years' floods,,
2021-03-23,Putin gets coronavirus vaccine behind closed doors,Belize football team bus held up by 'insurgents on motorcycles' in Haiti ahead of 2022 World Cup qualifier,UEFA Women's Champions League: European powerhouse Lyon's grip on title is facing its biggest challenge,McLaren signs long-term deal with karting star Ugo Ugochukwu,Germany to go into hard Easter lockdown as Covid-19 infections soar,"Olympic surfing hopeful Katherine Diaz, 22, killed by lightning while training",Sevilla goalkeeper Bono makes himself the unlikely hero with remarkable last-minute equalizer,Emotional Zlatan Ibrahimovic reduced to tears on return to Sweden squad,40% of Australia's entire population under severe weather warnings covering an area the size of Alaska,Australia's political culture in spotlight again as new report emerges of lewd acts in Parliament
2021-03-24,Fierce derby between Japan and South Korea sparking more concern than excitement,Steve Kerr calls for tougher gun control measures following Boulder shooting,German Catholic clergy rebel against Vatican over same-sex unions,"Volcanoes, lava and crashing waves: Playing golf 'Iceland style'",Olympic silver medalist Ryo Miyake delivers food for Uber Eats to fund Tokyo 2020 dream,Merkel says confusion over Easter restrictions were 'singularly and alone my mistake',How an alleged Russian spy ring stole NATO and EU secrets from Bulgaria,Boris Johnson's latest gaffe could threaten Britain's vaccine rollout,"Zara Tindall, Queen Elizabeth II's granddaughter, gives birth at home",Netherlands hope to highlight Qatar migrant workers' situation
2021-03-25,EU proposes vaccine controls as 'raid' in Italy uncovers millions of AstraZeneca doses,Norway players wear T-shirts protesting Qatar World Cup ahead of qualifier against Gibraltar,Champion snowboarder Julie Pomagalski dies in avalanche,Vasek Pospisil 'sorry' for expletive-laden rant at ATP boss in Miami,"Despite Brexit, Britons won't stop being European",Rory McIlroy suffers nightmarish loss as he hits ball into swimming pool,The Olympic flame starts its final leg to Tokyo. Some suggest this day should never have come,,,
2021-03-26,"'It's not a safe place': Thierry Henry quits social media, hoping to inspire others to stand up to online abuse","Boycotting the 2022 FIFA World Cup in Qatar would be a 'big mistake,' says Belgium manager Roberto Martínez","Sister Jean, the 101-year-old basketball-loving nun, on praying for her favorite team","Alexey Navalny is suffering 'torture by sleep deprivation' and severe pain, lawyers say",This week was a turning point for Harry and Meghan,Sam Holness hopes to use autism 'superpower' at Ironman World Championship,Bryson DeChambeau becomes first golfer to release NFT trading cards,,,
2021-03-27,Lewis Hamilton 'spoken to Bahrain officials' about human rights issues ahead of F1 race in country,Russian socialite TV host under fire for interview with serial rapist,Boris Johnson condemns 'disgraceful' attacks on police at Bristol protest,Iron Age warriors were buried with luxury feather bedding,The pandemic is stirring deep resentments in Europe. They may not be quick to heal,"After worst season in years, can Ferrari bounce back in 2021?",Indian cricket legend Sachin Tendulkar says he's tested positive for Covid-19,,,
2021-03-28,Bahrain Grand Prix: Lewis Hamilton holds off Max Verstappen to win thrilling F1 season opener,Doctors warn Paris ICUs could be overwhelmed by Covid-19 surge,Former Manchester United player Lou Macari turns his attention to helping the homeless,Tommy Fleetwood and Sergio Garcia hit holes-in-one at the WGC Matchplay,'I spent a whole year indoors and upstairs.' Life during the pandemic for people with disabilities,,,,,
2021-03-29,London records zero Covid-19 daily deaths for first time in six months as cases soar elsewhere in Europe,"Conversation around taking a knee means people are 'forgetting' the true cause, says Thierry Henry","These children escaped Xinjiang, but their parents are in China and cut off from the world",Cycling star Sam Bennett throws up during race; blames overeating on not wanting 'to run out of fuel',Slum golf: A whole new ball game on Mumbai's streets,,,,,
2021-03-30,Japan thrashes Mongolia 14-0 in historic World Cup qualifier win,Suspected mafia fugitive was living on a Caribbean island. Then police saw his YouTube cooking videos,Motor racing: Sandwich wrapper wrecked Alonso's comeback race,Golfer Joaquin Niemann helps raise $2.1 million to save his infant cousin's life,Manchester City's all-time top scorer Sergio Aguero will leave the club at the end of the season,Meet the doctor on a quest to get the homeless vaccinated against Covid-19,,,,
2021-03-31,France risks 'losing control' over Covid-19 spread without stricter national measures -- Macron,Italy expels two Russian officials over espionage case,Switzerland's female soldiers can finally stop wearing men's underwear,"Kevin Durant accused of using homophobic, misogynistic slurs in private messages with actor Michael Rapaport",Two Black women will be head coaches in the same NCAA women's Final Four for the first time,Russia registers world's first Covid-19 vaccine for animals,Campaigners slam UK government report into racial disparities as a 'whitewash',"Meghan and Harry weren't legally married before public wedding, archbishop says","Utah Jazz 'shaken, but unharmed' after team plane forced into emergency landing after bird strike",How Michael Miraglia completed his own Strongman Marathon on Utah's Bonneville Salt Flats
2021-04-01,British police officer convicted of membership of neo-Nazi organization,Could North and South Korea joint host the 2032 Olympics?,"Europe's vaccine rollout 'unacceptably slow,' WHO warns, amid 'worrying' surge",World Cup: North Macedonia stuns Germany in greatest win ever,'This might really be the end': Utah Jazz players recall terrifying plane scare,The cause of Tiger Woods' crash has been determined but details yet to be released publicly,Australia marks quietest fire season in a decade,Alexey Navalny announces he is going on hunger strike,,
2021-04-02,Australian Olympian Nathan Baggaley and his brother Dru found guilty in $152 million cocaine plot,Queen leaves castle for first in-person engagement this year as debate over abolishing the monarchy reignites in Australia,"Hungary records the deadliest day of the pandemic, despite its leading vaccine rollout",Italy makes vaccines compulsory for health workers. But some are unconvinced,Kevin Durant apologizes for Michael Rapaport exchange as the Brooklyn Nets stay first in the East,Indian cricket legend Sachin Tendulkar hospitalized after testing positive for Covid-19,From Manchester United to fruit delivery: David Moyes' long journey to the East End of London,,,
2021-04-03,UK's elite schools face a reckoning on rape culture,Premier League: West Bromwich Albion scores five goals against 10-man Chelsea,Neymar sees red as Lille stuns Paris Saint-Germain in Ligue 1 title showdown,"Türkgücü Munich: Targeted by far right group, football club founded by Turkish immigrants looks to connect cultures",NBA: Golden State Warriors suffer 53-point blowout loss to the Toronto Raptors,Children flock to Pope Francis during Good Friday service,Europe is torn over whether to take Putin's help on vaccines,,,
2021-04-04,"The year of two Copa del Rey finals: Athletic Bilbao loses first, but has second chance against FC Barcelona",Super Saturday leaves Inter with one hand on Serie A trophy,UK government proposes pilots for Covid-19 passports as way out of lockdown,Pope condemns 'scandalous' armed conflicts in scaled-down Easter Sunday mass,Tennis stars Elina Svitolina and Gael Monfils announce engagement,"He was lured to his death in a secluded park. In a pandemic, dating can be deadly for LGBTQ+ people",Culture wars give Boris Johnson and his government a quick and easy high. They're no substitute for governing,Gonzaga defeats UCLA with buzzer beater and will face Baylor in NCAA men's basketball title game,,
